N-Gram,2020,2021,2022,2023,2024,2025,Total
stereotypical grading practices less likely,0,0,2,0,0,0,2
stimulate postcrisis,0,2,0,0,0,0,2
stimulate postcrisis recovery,0,2,0,0,0,0,2
stimulate postcrisis recovery growth,0,2,0,0,0,0,2
stochastic adversarial,0,0,0,2,0,0,2
stochastic differential,0,0,2,0,0,0,2
stochastic equilibrium,0,0,0,2,0,0,2
stochastic frontier,0,0,0,2,0,0,2
stochastic learning inference,0,0,0,0,0,2,2
stochastic learning inference overidentified,0,0,0,0,0,2,2
social media users,0,0,2,0,0,0,2
social interactions,0,0,0,2,0,0,2
sensitive variable,0,0,2,0,0,0,2
social inefficiency function,0,0,0,0,2,0,2
setvalued formulation,0,0,0,0,0,2,2
severe uncertainty,0,0,2,0,0,0,2
shaping regional,0,2,0,0,0,0,2
shaping regional innovation,0,2,0,0,0,0,2
shaping regional innovation policy,0,2,0,0,0,0,2
share exceeds,0,0,0,0,2,0,2
share held bottom,0,2,0,0,0,0,2
share held top,0,2,0,0,0,0,2
share held top income,0,2,0,0,0,0,2
share held top income share,0,2,0,0,0,0,2
sharing customer,0,0,0,0,0,2,2
sharing method,0,0,0,0,0,2,2
sharing value,0,0,0,0,0,2,2
sharpe ratio,0,0,0,0,2,0,2
sharpe ratios,0,2,0,0,0,0,2
shed light relationship,0,0,0,2,0,0,2
show achieve,0,0,0,0,2,0,2
show asymptotically,0,0,0,0,0,2,2
show model,0,0,0,0,2,0,2
show standard,0,0,0,0,2,0,2
shrinkage variable,0,2,0,0,0,0,2
shrinkage variable selection,0,2,0,0,0,0,2
shutoffs psps,0,0,0,0,2,0,2
signal structure,0,0,2,0,0,0,2
signals may,0,0,0,0,2,0,2
signals may require,0,0,0,0,2,0,2
significance level,0,0,0,2,0,0,2
significance level alpha,0,0,0,2,0,0,2
significant changes,0,0,0,2,0,0,2
settings like,0,0,0,0,0,2,2
setting synthetic,0,0,0,2,0,0,2
setting researcher,0,0,0,0,0,2,2
serial random,2,0,0,0,0,0,2
sensitivity analysis causal,0,2,0,0,0,0,2
sentiment analysis,2,0,0,0,0,0,2
sentiment score,2,0,0,0,0,0,2
separable subset,0,0,2,0,0,0,2
separable subset weakly,0,0,2,0,0,0,2
separable subset weakly ordered,0,0,2,0,0,0,2
separable subset weakly ordered topological,0,0,2,0,0,0,2
separate bidding,0,0,0,2,0,0,2
separate bidding zones,0,0,0,2,0,0,2
separate bidding zones within,0,0,0,2,0,0,2
separate bidding zones within countries,0,0,0,2,0,0,2
separating menus,0,0,0,0,0,2,2
sequential sampling equilibrium,0,0,2,0,0,0,2
serial random priority,2,0,0,0,0,0,2
sets individuals,0,0,0,0,2,0,2
serial random priority mechanisms,2,0,0,0,0,0,2
series estimator,0,0,2,0,0,0,2
series forecasting,2,0,0,0,0,0,2
series open,0,0,0,2,0,0,2
serious leisure engagement,0,0,0,0,2,0,2
serious leisure user,0,0,0,0,2,0,2
serious leisure user innovation,0,0,0,0,2,0,2
services demand,2,0,0,0,0,0,2
set choice,0,0,2,0,0,0,2
set choice functions,0,0,2,0,0,0,2
set consisting,0,0,2,0,0,0,2
set covariates,0,0,2,0,0,0,2
set options,0,0,2,0,0,0,2
significant impact environmental,0,0,2,0,0,0,2
significant impact environmental performance,0,0,2,0,0,0,2
significant impact environmental performance variable,0,0,2,0,0,0,2
smallscale fisheries,2,0,0,0,0,0,2
skills help,0,0,0,2,0,0,2
skills help students,0,0,0,2,0,0,2
skin complexions,0,0,0,0,2,0,2
slim stochastic,0,0,0,0,0,2,2
slim stochastic learning,0,0,0,0,0,2,2
slim stochastic learning inference,0,0,0,0,0,2,2
slim stochastic learning inference overidentified,0,0,0,0,0,2,2
slot size,0,0,2,0,0,0,2
small mediumsized,0,0,0,0,2,0,2
small mediumsized enterprises,0,0,0,0,2,0,2
small number,0,0,2,0,0,0,2
small samples,0,0,0,2,0,0,2
smallgap regime,0,0,0,2,0,0,2
smart regions,0,0,2,0,0,0,2
size smaller,2,0,0,0,0,0,2
smes semarang,0,0,2,0,0,0,2
smes semarang city,0,0,2,0,0,0,2
smogncoreg model,0,0,0,2,0,0,2
smooth market,0,0,0,0,0,2,2
smooth market sharing,0,0,0,0,0,2,2
smooth transition,0,0,2,0,0,0,2
smooth transition autoregressive,0,0,2,0,0,0,2
smooth transition autoregressive model,0,0,2,0,0,0,2
smoothing volatility,0,0,2,0,0,0,2
smoothing volatility targeting,0,0,2,0,0,0,2
social amplification,2,0,0,0,0,0,2
social capital,0,0,0,2,0,0,2
social choice function,0,2,0,0,0,0,2
skillbased hiring,0,0,0,2,0,0,2
size number children,0,2,0,0,0,0,2
significant impact family,0,0,2,0,0,0,2
simulate human,0,0,0,2,0,0,2
significant impact family size,0,0,2,0,0,0,2
significant implications,0,0,0,2,0,0,2
significant increase,0,0,0,2,0,0,2
significant positive impact,0,0,2,0,0,0,2
significantly improves,0,2,0,0,0,0,2
simple algorithm,0,2,0,0,0,0,2
simple climate,0,0,2,0,0,0,2
simple method estimating,0,2,0,0,0,0,2
simple method estimating lorenz,0,2,0,0,0,0,2
simple method estimating lorenz curve,0,2,0,0,0,0,2
simple multiple,0,0,2,0,0,0,2
simple multiple linear,0,0,2,0,0,0,2
simple multiple linear regressions,0,0,2,0,0,0,2
simulate human behavior,0,0,0,2,0,0,2
size number,0,2,0,0,0,0,2
simulation experiments,0,0,0,2,0,0,2
simulation model,2,0,0,0,0,0,2
simulation studies,0,0,0,0,0,2,2
simultaneous inference,0,0,2,0,0,0,2
single empirical,0,2,0,0,0,0,2
single empirical studies,0,2,0,0,0,0,2
single restriction,0,0,0,0,2,0,2
singlecrossing differences,0,0,2,0,0,0,2
singleton set,0,0,2,0,0,0,2
singleton set consisting,0,0,2,0,0,0,2
singularity type,0,0,0,0,0,2,2
sir model,2,0,0,0,0,0,2
size control,0,0,0,2,0,0,2
near certainty standard,0,2,0,0,0,0,2
abatement cost,0,0,2,0,0,0,2
navierstokesbased approach,0,0,0,0,0,2,2
design evaluation,0,0,2,0,0,0,2
demographic transitions,0,0,0,2,0,0,2
demonstrated strong,0,0,0,0,2,0,2
dense subset,0,0,0,0,0,2,2
density ratio estimation,0,0,0,0,0,2,2
density ratio estimation riesz,0,0,0,0,0,2,2
density ratio estimation riesz regression,0,0,0,0,0,2,2
dependent imports,2,0,0,0,0,0,2
dependent variables,0,2,0,0,0,0,2
derive closedform,0,0,0,0,0,2,2
describing structural,2,0,0,0,0,0,2
design appraisal,0,0,0,2,0,0,2
design distributional,0,0,2,0,0,0,2
design distributional objectives,0,0,2,0,0,0,2
design estimate,0,2,0,0,0,0,2
design evaluation predictive,0,0,2,0,0,0,2
development level,0,0,0,0,2,0,2
design evaluation predictive algorithms,0,0,2,0,0,0,2
design framework,0,0,0,2,0,0,2
design propose,0,0,0,0,0,2,2
designbased model,0,0,0,0,2,0,2
designbased model experiment,0,0,0,0,2,0,2
designs allow,0,2,0,0,0,0,2
despite limitations,0,0,0,0,0,2,2
develop algorithms,0,0,0,2,0,0,2
develop direct,0,0,0,0,0,2,2
develop direct debiased,0,0,0,0,0,2,2
develop direct debiased machine,0,0,0,0,0,2,2
develop direct debiased machine learning,0,0,0,0,0,2,2
develop novel,0,0,2,0,0,0,2
developed developing,0,0,2,0,0,0,2
demographic groups,0,2,0,0,0,0,2
demand game consoles,2,0,0,0,0,0,2
demand game,2,0,0,0,0,0,2
delivery services,0,0,0,0,0,2,2
deciding existence connected,0,0,0,2,0,0,2
decision subject,0,2,0,0,0,0,2
decision trees,0,0,0,0,0,2,2
decisionmakers evaluate,0,0,0,2,0,0,2
decisionmakers evaluate applicants,0,0,0,2,0,0,2
decisionmaking process,0,0,0,2,0,0,2
decisionmaking processes,0,0,0,2,0,0,2
decreased impatience,2,0,0,0,0,0,2
decreased impatience intertemporal,2,0,0,0,0,0,2
decreased impatience intertemporal choice,2,0,0,0,0,0,2
decreases robustness,0,0,0,0,0,2,2
decumulation retirement,0,0,0,2,0,0,2
decumulation retirement savings,0,0,0,2,0,0,2
decumulation strategy,0,0,0,2,0,0,2
deems manipulation,0,0,0,0,2,0,2
deems manipulation successful,0,0,0,0,2,0,2
deems manipulation successful increases,0,0,0,0,2,0,2
deems manipulation successful increases voters,0,0,0,0,2,0,2
deep reinforcement,0,0,0,0,0,2,2
deep reinforcement learning,0,0,0,0,0,2,2
defence readiness,0,0,0,0,2,0,2
defiers within,0,0,0,0,2,0,2
define measure,0,0,0,2,0,0,2
define measure subjective,0,0,0,2,0,0,2
define measure subjective probability,0,0,0,2,0,0,2
degree serious,0,0,0,0,2,0,2
degree serious leisure,0,0,0,0,2,0,2
delegate pricing,0,0,0,0,0,2,2
delivery option,0,0,2,0,0,0,2
developing countries,0,0,2,0,0,0,2
development level new,0,0,0,0,2,0,2
decentralized offgrid renewable energy systems,0,0,2,0,0,0,2
disclosure avoidance,0,0,0,2,0,0,2
digitalization organizational agility,0,2,0,0,0,0,2
dimension reduction techniques,2,0,0,0,0,0,2
dimension structural,0,0,2,0,0,0,2
dimensions proenvironmental,0,0,2,0,0,0,2
dimensions proenvironmental behaviour,0,0,2,0,0,0,2
diminishing transport,2,0,0,0,0,0,2
diminishing transport costs,2,0,0,0,0,0,2
dioxide removal,0,0,2,0,0,0,2
direct covid,0,0,2,0,0,0,2
direct covid relevance,0,0,2,0,0,0,2
direct debiased machine learning framework,0,0,0,0,0,2,2
direct debiased machine learning via,0,0,0,0,0,2,2
direct impact,0,0,2,0,0,0,2
directed energy,0,2,0,0,0,0,2
discontinuity designs,0,0,0,0,0,2,2
development level new infrastructure,0,0,0,0,2,0,2
discontinuity events,0,0,0,0,2,0,2
discrete screening,0,0,0,0,0,2,2
discrete treatments,0,0,2,0,0,0,2
discuss implications,0,2,0,0,0,0,2
discussion draft,0,2,0,0,0,0,2
discussion draft explore,0,2,0,0,0,0,2
distance function,0,2,0,0,0,0,2
distance models,2,0,0,0,0,0,2
distance surveillance,2,0,0,0,0,0,2
distance surveillance authorities,2,0,0,0,0,0,2
distant knowledge,0,0,0,2,0,0,2
distinguish income,0,2,0,0,0,0,2
distinguish income inequality,0,2,0,0,0,0,2
distinguish income inequality among,0,2,0,0,0,0,2
digitalization organizational,0,2,0,0,0,0,2
digital transformation level,0,0,0,0,2,0,2
digital transformation economy society,0,0,2,0,0,0,2
digital transformation economy,0,0,2,0,0,0,2
development level new infrastructure investment,0,0,0,0,2,0,2
development pharmaceutical,0,0,2,0,0,0,2
development policy,2,0,0,0,0,0,2
differenceform csf,0,2,0,0,0,0,2
differenceform csf model,0,2,0,0,0,0,2
differenceindifferences analysis,0,0,0,0,0,2,2
differenceindifferences designs,0,0,0,0,0,2,2
differenceindifferences methods,0,0,0,0,0,2,2
differenceindifferences synthetic,0,0,0,0,0,2,2
differenceindifferences synthetic control,0,0,0,0,0,2,2
different phases,2,0,0,0,0,0,2
different regions,2,0,0,0,0,0,2
different remote,2,0,0,0,0,0,2
different remote sensing,2,0,0,0,0,0,2
differential game,0,2,0,0,0,0,2
differing appetites key,0,0,0,2,0,0,2
diffusion social,0,0,0,0,2,0,2
diffusion term,0,0,2,0,0,0,2
diffusive nature,0,0,0,0,2,0,2
diffusive nature housing,0,0,0,0,2,0,2
diffusive nature housing prices,0,0,0,0,2,0,2
digital advertising,0,2,0,0,0,0,2
digital aid,0,0,0,2,0,0,2
digital currency,0,0,0,0,0,2,2
digital deception,0,0,0,0,2,0,2
digital economy,0,0,2,0,0,0,2
digital economy society,0,0,2,0,0,0,2
digital platform work,0,0,0,0,0,2,2
digital servitization,0,0,0,0,2,0,2
deciding existence,0,0,0,2,0,0,2
decentralized offgrid renewable energy,0,0,2,0,0,0,2
navierstokes framework,0,0,0,0,0,2,2
countrys innovation performance,0,0,2,0,0,0,2
countries analysed using simple multiple,0,0,2,0,0,0,2
countries egypt,0,0,0,0,2,0,2
countries iran,0,0,0,2,0,0,2
countries iran using,0,0,0,2,0,0,2
countries lowquality,0,2,0,0,0,0,2
countries lowquality institutions,0,2,0,0,0,0,2
countries lowquality institutions tend,0,2,0,0,0,0,2
countries lowquality institutions tend wealthy,0,2,0,0,0,0,2
countries others,0,0,2,0,0,0,2
countries others suggests,0,0,2,0,0,0,2
country also,0,0,0,2,0,0,2
countrylevel vaccination,0,0,0,0,2,0,2
countrylevel vaccination rates,0,0,0,0,2,0,2
countrys innovation,0,0,2,0,0,0,2
coupling coordination,0,0,0,0,2,0,2
crime rate,0,2,0,0,0,0,2
covariate adjustment,0,0,0,0,0,2,2
covariate exclusion,0,2,0,0,0,0,2
covariate exclusion restrictions,0,2,0,0,0,0,2
covariates paper,0,0,2,0,0,0,2
covariates potential,0,0,0,0,0,2,2
covariates potential outcomes,0,0,0,0,0,2,2
covid case,0,2,0,0,0,0,2
covid cases,0,2,0,0,0,0,2
covid lockdown,2,0,0,0,0,0,2
cpc subclass,0,0,2,0,0,0,2
creation separate,0,0,0,2,0,0,2
creation separate bidding,0,0,0,2,0,0,2
creation separate bidding zones,0,0,0,2,0,0,2
creation separate bidding zones within,0,0,0,2,0,0,2
countries analysed using simple,0,0,2,0,0,0,2
countries analysed using,0,0,2,0,0,0,2
countries analysed,0,0,2,0,0,0,2
counterfactual parameters,0,0,2,0,0,0,2
convex model,0,0,2,0,0,0,2
cooperation actors,0,2,0,0,0,0,2
cooperation actors regional,0,2,0,0,0,0,2
cooperation actors regional innovation,0,2,0,0,0,0,2
cooperation anonymous,2,0,0,0,0,0,2
cooperation anonymous contexts,2,0,0,0,0,0,2
cooperative tendencies,2,0,0,0,0,0,2
copula central asymmetry,0,0,0,0,2,0,2
core minimal,0,2,0,0,0,0,2
core minimal assumptions,0,2,0,0,0,0,2
corona populism,2,0,0,0,0,0,2
corporate nature,0,0,0,2,0,0,2
correction model,0,0,0,2,0,0,2
cost consumers,0,0,2,0,0,0,2
cost firms,2,0,0,0,0,0,2
cost starting,0,0,0,2,0,0,2
costs channel,0,2,0,0,0,0,2
costs discussion,0,2,0,0,0,0,2
costs discussion draft,0,2,0,0,0,0,2
costs discussion draft explore,0,2,0,0,0,0,2
costs market supposed,0,2,0,0,0,0,2
costs market supposed isoelastic,0,2,0,0,0,0,2
costs market supposed isoelastic demand,0,2,0,0,0,0,2
council european,0,0,0,2,0,0,2
council european union,0,0,0,2,0,0,2
count data,2,0,0,0,0,0,2
count data jumps,2,0,0,0,0,0,2
count time,2,0,0,0,0,0,2
count time series,2,0,0,0,0,0,2
credit freezes,2,0,0,0,0,0,2
critically analyzed,0,0,0,2,0,0,2
decentralized offgrid renewable,0,0,2,0,0,0,2
data sparsity problem,0,2,0,0,0,0,2
data income distribution,0,2,0,0,0,0,2
data items business,2,0,0,0,0,0,2
data items business analytics,2,0,0,0,0,0,2
data jumps,2,0,0,0,0,0,2
data may,2,0,0,0,0,0,2
data mining,0,0,0,0,2,0,2
data paper,0,2,0,0,0,0,2
data problem,2,0,0,0,0,0,2
data propose,2,0,0,0,0,0,2
data quality,0,0,0,2,0,0,2
data results,0,0,2,0,0,0,2
data scientists,0,0,0,0,2,0,2
data show,0,0,0,0,2,0,2
data sparsity,0,2,0,0,0,0,2
data study,2,0,0,0,0,0,2
crop output,2,0,0,0,0,0,2
data using,2,0,0,0,0,0,2
database used,0,2,0,0,0,0,2
datadriven mechanisms,0,0,0,0,2,0,2
datadriven procedure,2,0,0,0,0,0,2
deaths per,2,0,0,0,0,0,2
deaths per capita,2,0,0,0,0,0,2
debiased machine learning framework,0,0,0,0,0,2,2
debiased machine learning via,0,0,0,0,0,2,2
debiased plugin,0,0,0,0,0,2,2
debiasing method,0,0,0,0,2,0,2
debt crises,2,0,0,0,0,0,2
decay rate,0,0,0,0,0,2,2
decentralized finance,2,0,0,0,0,0,2
decentralized offgrid,0,0,2,0,0,0,2
data income,0,2,0,0,0,0,2
data however,0,0,0,0,2,0,2
data economics,0,0,0,0,0,2,2
data cloud,2,0,0,0,0,0,2
crossings guatemala,0,0,2,0,0,0,2
crossings made male,0,0,2,0,0,0,2
crossings made male adults,0,0,2,0,0,0,2
crosssectional data,0,0,0,0,0,2,2
csf model,0,2,0,0,0,0,2
ctr ads,0,0,0,0,0,2,2
cultural dimensions proenvironmental,0,0,2,0,0,0,2
cultural dimensions proenvironmental behaviour,0,0,2,0,0,0,2
cultural factors,0,0,2,0,0,0,2
cultural rating,0,0,0,2,0,0,2
culture influences,0,0,2,0,0,0,2
culture influences environmentally,0,0,2,0,0,0,2
culture influences environmentally conscious,0,0,2,0,0,0,2
culture influences environmentally conscious behaviour,0,0,2,0,0,0,2
cumulative loss,0,0,0,2,0,0,2
current economic,0,0,0,0,0,2,2
current economic conditions,0,0,0,0,0,2,2
current past,0,0,0,0,2,0,2
current state,0,0,0,0,2,0,2
customer data,0,0,0,0,0,2,2
customer demand,0,0,0,0,2,0,2
customer poaching,0,0,0,0,0,2,2
cusum process,0,0,0,2,0,0,2
dantzigwolfe decomposition,2,0,0,0,0,0,2
darker skin,0,0,0,0,2,0,2
data annotators,0,0,0,2,0,0,2
data center,0,0,0,0,0,2,2
data center execution,0,0,0,0,0,2,2
data center execution assurance,0,0,0,0,0,2,2
distinguish income inequality among countries,0,2,0,0,0,0,2
distribution covariates,2,0,0,0,0,0,2
distribution function,0,2,0,0,0,0,2
energy sources,0,0,2,0,0,0,2
endogenous growth model physical,0,0,0,2,0,0,2
endogenous growth model physical human,0,0,0,2,0,0,2
endogenous treatment,0,0,0,2,0,0,2
endogenous variables,0,2,0,0,0,0,2
endpoint rules,0,0,0,0,2,0,2
energy facilities,0,0,0,0,2,0,2
energy flows,0,0,2,0,0,0,2
energy food markets,0,0,0,0,0,2,2
energy market,2,0,0,0,0,0,2
energy materials,2,0,0,0,0,0,2
energy materials economy,2,0,0,0,0,0,2
energy resources,0,0,2,0,0,0,2
energy saving programs,0,2,0,0,0,0,2
energy security,0,2,0,0,0,0,2
energy storage,0,0,2,0,0,0,2
envelope theorem,0,2,0,0,0,0,2
energy supply,0,0,2,0,0,0,2
energy transition policies,0,0,2,0,0,0,2
energy use fdi urbanization,0,0,0,0,2,0,2
energyfood nexus,0,0,0,0,0,2,2
energysaving technologies energy,0,0,0,2,0,0,2
energysaving technologies energy efficiency,0,0,0,2,0,0,2
enforcement venture,0,0,0,2,0,0,2
enforcement venture capital,0,0,0,2,0,0,2
enforcement venture capital investments,0,0,0,2,0,0,2
entertainment sports,0,0,0,2,0,0,2
entrepreneurial intention,0,0,0,2,0,0,2
entrepreneurs entrepreneursinwaiting,0,0,0,2,0,0,2
entry cost firms,2,0,0,0,0,0,2
entry fees,0,0,0,0,2,0,2
endogenous growth model,0,0,0,2,0,0,2
endogenous development,0,0,0,0,0,2,2
endogenous budget sets,0,0,0,0,2,0,2
endogenous budget,0,0,0,0,2,0,2
ema ratios,0,0,0,0,2,0,2
embedded sociocultural,0,0,0,2,0,0,2
embodied energy,0,0,2,0,0,0,2
emergence powerlaw,0,0,0,0,2,0,2
emigration crossings made,0,0,2,0,0,0,2
emission factor estimation,0,0,0,0,2,0,2
emphasize need,0,0,0,2,0,0,2
empirical analysis,0,0,0,2,0,0,2
empirical demand,0,0,0,0,2,0,2
empirical demand analysis,0,0,0,0,2,0,2
empirical framework,0,0,0,0,0,2,2
empirical results,2,0,0,0,0,0,2
empirical studies,0,2,0,0,0,0,2
empirical study,0,0,2,0,0,0,2
empirical welfare,0,0,0,0,0,2,2
empirical welfare maximization,0,0,0,0,0,2,2
employee family,0,0,0,2,0,0,2
employee family support,0,0,0,2,0,0,2
employee family support services,0,0,0,2,0,0,2
employee substitution,0,0,0,0,2,0,2
employee wellbeing job,0,0,0,2,0,0,2
employee wellbeing job performance,0,0,0,2,0,0,2
employees managers,0,0,0,2,0,0,2
employees managers companies,0,0,0,2,0,0,2
emulator integrated,0,0,2,0,0,0,2
emulator integrated assessment,0,0,2,0,0,0,2
emulator integrated assessment models,0,0,2,0,0,0,2
enables approximate,0,0,0,0,2,0,2
encompassing principle,0,0,0,2,0,0,2
entry market,2,0,0,0,0,0,2
environmental assets,0,0,0,0,0,2,2
distribution labor,2,0,0,0,0,0,2
estimated upper frechet,0,0,0,0,2,0,2
estimate causal effects,0,0,0,0,0,2,2
estimate causal impact,0,0,0,0,0,2,2
estimate counterfactual,0,2,0,0,0,0,2
estimate impact,0,2,0,0,0,0,2
estimate lorenz,0,2,0,0,0,0,2
estimate lorenz curve,0,2,0,0,0,0,2
estimate marginal emission,0,0,0,0,2,0,2
estimate model,0,0,0,0,2,0,2
estimate parameters,0,2,0,0,0,0,2
estimate policy,0,2,0,0,0,0,2
estimate structural,0,2,0,0,0,0,2
estimated fitting,2,0,0,0,0,0,2
estimated long,0,0,0,2,0,0,2
estimated upper,0,0,0,0,2,0,2
estimated upper frechet bound,0,0,0,0,2,0,2
environmental concern,0,2,0,0,0,0,2
estimated value positive,0,0,2,0,0,0,2
estimated value positive significant,0,0,2,0,0,0,2
estimated value positive significant impact,0,0,2,0,0,0,2
estimating equations,0,0,0,0,2,0,2
estimating equations conditional,0,0,0,0,2,0,2
estimating equations conditional objects,0,0,0,0,2,0,2
estimating equations conditional objects interest,0,0,0,0,2,0,2
estimating lorenz,0,2,0,0,0,0,2
estimating lorenz curve,0,2,0,0,0,0,2
estimating treatment,2,0,0,0,0,0,2
estimating treatment effects,2,0,0,0,0,0,2
estimation error,0,0,0,0,0,2,2
estimation furthermore,0,0,0,0,0,2,2
estimation generalized,0,0,0,0,0,2,2
estimate average treatment,0,2,0,0,0,0,2
estimate att,0,0,0,0,2,0,2
establish equivalence,0,0,2,0,0,0,2
essentially equivalent,0,0,0,0,0,2,2
environmental concern novelty,0,2,0,0,0,0,2
environmental concern novelty seeking,0,2,0,0,0,0,2
environmental considerations,0,0,0,2,0,0,2
environmental considerations one,0,0,0,2,0,0,2
environmental considerations one important,0,0,0,2,0,0,2
environmental considerations one important activities,0,0,0,2,0,0,2
environmental income,0,0,0,2,0,0,2
equation modeling,0,2,0,0,0,0,2
equation modelling,0,0,2,0,0,0,2
equation modelling sem,0,0,2,0,0,0,2
equation modelling sem used,0,0,2,0,0,0,2
equation models,2,0,0,0,0,0,2
equations conditional,0,0,0,0,2,0,2
equations conditional objects,0,0,0,0,2,0,2
equations conditional objects interest,0,0,0,0,2,0,2
equilibria generic,0,0,0,0,2,0,2
equilibrium analysis,0,0,0,0,0,2,2
equilibrium tcs,0,2,0,0,0,0,2
equipo anova,0,0,2,0,0,0,2
equivalent arrow,0,0,2,0,0,0,2
equivalent arrow theorem,0,0,2,0,0,0,2
error correction,0,0,0,2,0,0,2
error correction model,0,0,0,2,0,0,2
error incurred,2,0,0,0,0,0,2
error introduced,2,0,0,0,0,0,2
error introduced different,2,0,0,0,0,0,2
error propose,2,0,0,0,0,0,2
error rates,0,0,2,0,0,0,2
error term,0,0,0,0,0,2,2
ema difference,0,0,0,0,2,0,2
elucidate factors,0,0,0,2,0,0,2
elicitation mechanisms,0,2,0,0,0,0,2
easy use practice,2,0,0,0,0,0,2
dynamic spatial,0,0,0,0,0,2,2
dynamic spatial treatment,0,0,0,0,0,2,2
dynamic structural,0,0,0,0,0,2,2
dynamic triple gamma prior,0,0,0,2,0,0,2
dynamically misspecified,0,0,0,0,2,0,2
dynamics european,0,0,0,0,0,2,2
dynamics european banking,0,0,0,0,0,2,2
dynamics heterogeneous,0,0,2,0,0,0,2
dynamics heterogeneous cournot,0,0,2,0,0,0,2
dynamics paper,0,2,0,0,0,0,2
dynamics whole,0,2,0,0,0,0,2
earlier period,0,0,0,0,2,0,2
early years,0,0,0,0,0,2,2
earnings inequality,0,2,0,0,0,0,2
ecological validity,0,0,0,2,0,0,2
electricity system,0,2,0,0,0,0,2
ecommerce users preferences,0,0,2,0,0,0,2
econometric methods,0,0,0,2,0,0,2
economic activity,0,2,0,0,0,0,2
economic agentbased,0,0,0,0,2,0,2
economic agentbased models,0,0,0,0,2,0,2
economic conditions,0,0,0,0,0,2,2
economic cycles,2,0,0,0,0,0,2
economic disruptions,0,0,0,0,2,0,2
economic ecosystems comparative,0,0,0,2,0,0,2
economic factors,0,0,0,0,0,2,2
economic geography,0,0,2,0,0,0,2
economic health,2,0,0,0,0,0,2
economic integration,0,0,2,0,0,0,2
economic modeling,0,0,0,0,0,2,2
dynamic optimization,2,0,0,0,0,0,2
dynamic model,0,0,0,0,0,2,2
dwad estimators,0,0,2,0,0,0,2
duopoly games,0,2,0,0,0,0,2
distribution labor productivity,2,0,0,0,0,0,2
distribution significant,0,0,0,2,0,0,2
distribution significant positive,0,0,0,2,0,0,2
distribution significant positive effect,0,0,0,2,0,0,2
distributional approximation,0,0,2,0,0,0,2
distributional objective satisfies,0,0,2,0,0,0,2
distributionally robust,0,0,0,0,0,2,2
distributions propose,2,0,0,0,0,0,2
diversification strategy,0,2,0,0,0,0,2
domestic coal,0,2,0,0,0,0,2
domestic supply,2,0,0,0,0,0,2
dominant strategy,0,0,2,0,0,0,2
donor pool,0,0,0,0,0,2,2
dose response curves,2,0,0,0,0,0,2
double bootstrap,0,0,0,0,2,0,2
draft explore,0,2,0,0,0,0,2
drawn different,2,0,0,0,0,0,2
drivers avs,0,2,0,0,0,0,2
drivers change,0,0,2,0,0,0,2
drivers illegal,2,0,0,0,0,0,2
drivers number,0,2,0,0,0,0,2
drivers number overtime,0,2,0,0,0,0,2
drivers number overtime hours,0,2,0,0,0,0,2
drivers number overtime hours worked,0,2,0,0,0,0,2
driving forces,0,0,2,0,0,0,2
due instability,2,0,0,0,0,0,2
due instability economy,2,0,0,0,0,0,2
due lack,0,2,0,0,0,0,2
due local,0,0,0,2,0,0,2
economic performance,0,0,0,2,0,0,2
economic policy,0,0,0,2,0,0,2
economic theory,0,0,2,0,0,0,2
effectiveness medicaid expansion,2,0,0,0,0,0,2
effects average,0,0,0,0,0,2,2
effects average causal,0,0,0,0,0,2,2
effects average causal responses,0,0,0,0,0,2,2
effects binary,0,0,2,0,0,0,2
effects binary choice,0,0,2,0,0,0,2
effects covariate,0,2,0,0,0,0,2
effects covariate shifts,0,2,0,0,0,0,2
effects teachers,0,0,2,0,0,0,2
effects treated,0,0,0,0,0,2,2
efficiency gains,0,0,2,0,0,0,2
efficiency measures,0,2,0,0,0,0,2
efficient sampling,0,0,2,0,0,0,2
effortsharing scenarios,0,2,0,0,0,0,2
egypt well,0,0,0,0,2,0,2
egypts accession brics bloc,0,0,0,0,2,0,2
either exogenously,0,2,0,0,0,0,2
either fully,0,0,0,0,2,0,2
either high,0,2,0,0,0,0,2
either high low,0,2,0,0,0,0,2
elasticity heteroscedastic,0,0,0,2,0,0,2
elasticity heteroscedastic valuation,0,0,0,2,0,0,2
elasticity respect,0,0,0,0,2,0,2
elasticity respect number,0,0,0,0,2,0,2
elderly populations,0,0,0,0,0,2,2
electoral violence health,0,2,0,0,0,0,2
electoral violence health human,0,2,0,0,0,0,2
electoral violence health human capital,0,2,0,0,0,0,2
electricity market,0,2,0,0,0,0,2
electricity sector,0,2,0,0,0,0,2
effects across,0,0,0,0,2,0,2
effectiveness medicaid,2,0,0,0,0,0,2
economically meaningful,0,0,0,0,0,2,2
effective treatment,0,0,2,0,0,0,2
economically motivated,0,0,0,0,2,0,2
economically motivated restrictions,0,0,0,0,2,0,2
economy instability,2,0,0,0,0,0,2
ecosystem rankings,0,2,0,0,0,0,2
ecosystems comparative,0,0,0,2,0,0,2
education sector,0,2,0,0,0,0,2
education systems,0,2,0,0,0,0,2
educational system,0,2,0,0,0,0,2
effect antitrust,0,0,0,2,0,0,2
effect antitrust enforcement,0,0,0,2,0,0,2
effect antitrust enforcement venture,0,0,0,2,0,0,2
effect antitrust enforcement venture capital,0,0,0,2,0,0,2
effect ate,0,2,0,0,0,0,2
effect cate,0,0,0,0,0,2,2
