,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
numerical experiments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,9,15,12,9,6,16,16,8,20,21,16,18,180
comparative analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,4,0,0,7,9,6,6,3,4,4,9,15,12,14,16,31,31,180
entropy production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,11,6,8,15,7,16,8,7,12,3,8,15,23,22,180
collective dynamics,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,7,5,10,11,11,8,5,16,14,13,14,17,15,14,8,180
compartmental model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,5,0,6,8,44,24,26,14,20,22,180
model incorporates,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,5,0,3,7,8,4,9,4,6,3,6,6,11,15,11,17,19,37,180
study provides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,4,6,8,12,8,8,19,14,12,21,22,36,180
model population,0,0,0,0,0,0,0,5,4,0,0,9,0,5,5,3,0,0,6,11,8,6,16,4,14,12,7,6,16,8,7,10,11,7,180
present model,0,0,0,0,0,4,0,3,0,0,4,0,8,5,8,6,3,0,10,8,7,8,12,11,8,8,9,10,13,9,7,9,0,9,179
associative memory,0,0,0,0,0,0,0,5,8,0,17,5,0,0,4,0,0,7,3,0,4,5,4,6,13,5,7,5,6,14,0,14,23,24,179
models predict,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8,0,4,6,5,6,15,12,20,13,12,20,22,29,179
model predict,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,10,0,8,4,8,12,29,17,17,13,26,25,179
computational complexity,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,6,10,9,10,12,14,5,7,11,11,12,15,18,28,179
agentbased model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,5,5,0,4,7,6,3,12,13,17,12,20,7,11,21,22,179
present results,0,0,0,0,0,0,0,0,3,0,3,4,5,3,5,4,8,3,6,6,9,7,12,12,9,5,4,7,15,10,13,14,5,7,179
genetic variants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,14,11,18,11,5,16,10,11,12,8,14,24,14,178
model evolution,0,0,0,0,0,4,0,0,3,4,4,6,7,6,0,3,4,6,8,9,7,11,8,8,4,7,7,5,13,11,10,7,8,8,178
drug resistance,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,13,18,6,0,15,11,12,20,11,8,19,21,14,178
network theory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,4,18,5,17,5,12,8,5,7,17,14,13,14,16,10,178
synaptic weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,5,14,20,7,10,8,8,13,13,15,14,19,13,10,178
many different,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,4,4,10,5,15,14,8,12,7,15,12,13,13,7,9,6,12,178
two main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,10,6,8,8,13,7,4,6,16,14,22,14,20,15,178
increasing number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,4,0,6,5,7,8,11,10,7,11,14,19,12,15,10,16,12,178
population sizes,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,5,3,10,19,10,15,14,8,13,6,12,4,14,7,9,14,177
cell death,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,0,13,6,4,9,9,17,9,4,12,6,15,8,14,10,17,10,177
paper show,0,0,0,0,0,0,0,0,0,0,3,0,5,3,6,5,4,0,7,9,0,8,12,12,8,14,12,12,19,10,8,11,3,6,177
learning based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,26,21,17,34,17,14,19,177
outperforms stateoftheart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,11,7,11,6,26,22,30,52,177
evolutionary history,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,6,0,4,0,15,13,18,8,7,12,13,7,6,16,10,13,12,7,177
generative adversarial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,14,20,32,19,19,32,19,177
limit cycle,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,3,7,8,4,6,9,18,5,17,10,12,5,9,10,14,5,12,7,6,177
space time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,5,17,9,9,7,9,14,5,21,9,15,17,21,176
extracellular matrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,5,0,0,6,12,12,17,29,15,18,10,15,6,19,176
rate constants,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,12,4,14,13,15,11,11,6,12,15,5,13,7,6,5,7,6,176
outperforms existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,7,5,6,8,11,7,29,48,46,176
often used,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,6,14,15,6,10,9,12,16,10,14,18,12,14,11,176
classification performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,11,9,12,18,17,23,21,19,37,176
compartmental models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,10,4,9,0,32,28,27,13,19,21,175
benchmark datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,19,11,29,36,34,36,175
models biological,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,0,5,4,4,3,4,5,7,7,8,7,9,7,9,12,10,12,19,28,175
studies shown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,7,3,8,13,7,11,6,8,15,13,13,22,10,13,14,175
biochemical reaction,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,4,7,6,7,13,9,14,5,9,13,12,14,4,4,11,9,8,13,175
nucleic acids,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,6,0,6,6,8,10,4,7,3,10,5,8,7,18,20,15,15,14,175
classification tasks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,17,13,19,18,29,29,32,175
models including,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,10,7,9,0,8,6,4,11,10,16,12,32,41,175
chain monte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,6,3,15,16,9,11,4,12,8,20,12,8,14,16,13,174
shortterm memory,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,5,0,6,6,9,9,8,20,16,7,16,10,20,28,174
stochastic simulation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,11,12,9,5,10,10,11,9,8,17,6,10,7,10,7,10,15,174
multiple sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,8,8,20,16,6,11,10,8,5,4,15,17,11,17,174
neuroimaging data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,18,9,11,12,10,19,26,16,16,25,174
structural connectivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,6,9,10,10,10,17,16,16,17,17,33,174
cellular automata,0,0,0,0,0,0,4,0,5,0,0,12,7,0,0,0,12,0,0,6,8,3,7,11,4,7,5,7,18,17,13,8,10,10,174
prediction tasks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,6,32,40,43,34,174
review recent,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,4,6,4,11,5,9,10,5,13,13,11,13,19,16,11,13,174
size distribution,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,4,0,8,3,9,7,13,10,6,18,11,6,9,9,7,8,18,9,7,174
dynamical properties,0,0,0,0,0,0,4,0,0,3,0,5,0,3,4,11,5,6,9,7,7,17,12,4,5,8,5,9,12,6,9,8,7,8,174
multiomics data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,11,23,42,36,43,174
data demonstrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,5,8,4,11,7,9,11,12,18,9,14,18,18,18,173
analysis methods,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,6,3,0,10,6,13,5,11,5,5,18,15,16,14,18,19,173
data also,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,4,3,4,11,8,6,11,10,12,9,14,11,14,17,16,12,173
cognitive processes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,4,3,9,14,13,15,9,9,8,19,24,34,173
spread disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,5,5,8,3,0,68,21,18,13,13,11,173
large datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,7,7,3,15,11,10,4,9,31,32,30,173
early stages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,8,5,4,6,11,15,34,13,10,17,20,17,172
neural representations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,11,9,9,22,17,32,54,172
function prediction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,21,13,5,5,0,7,14,15,49,35,172
object recognition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,21,10,12,6,19,20,18,24,14,7,172
biological evolution,0,0,0,0,8,0,4,5,5,8,6,0,3,8,0,14,6,0,4,16,11,7,4,5,3,6,7,5,4,5,4,6,11,7,172
nucleic acid,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,18,11,13,11,8,5,4,4,4,19,11,12,20,16,171
also provides,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,4,0,7,6,10,6,4,12,11,16,15,11,15,23,21,171
address challenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,12,7,16,32,39,47,171
data generated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,3,5,11,8,6,9,10,14,6,16,24,17,27,171
herd immunity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,40,23,11,10,5,171
markov chains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,9,4,13,9,7,6,9,15,14,10,13,16,10,13,9,171
intrinsic noise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,14,12,17,10,8,11,22,7,13,12,4,6,0,8,5,10,171
provides new,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,4,6,0,8,8,6,10,6,6,14,20,11,12,20,29,171
underlying mechanisms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,6,4,5,5,4,5,6,11,16,12,16,23,26,25,171
evolutionary processes,0,0,0,0,0,0,0,4,4,0,0,0,0,3,3,6,4,0,4,0,14,10,8,10,7,6,10,13,6,11,8,6,18,15,170
coronavirus disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,27,13,0,0,0,170
model cell,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,12,6,4,9,6,13,14,4,10,19,20,10,6,11,7,10,169
deep convolutional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,28,24,25,32,15,10,3,6,7,169
achieves stateoftheart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6,13,26,47,69,169
paper develop,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,6,3,0,4,0,9,5,12,5,9,11,7,18,16,17,21,9,7,169
last years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,6,3,9,17,7,7,11,5,12,9,12,11,15,13,15,8,169
prediction model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,17,28,16,15,23,28,24,169
control theory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,17,3,13,11,15,16,18,29,9,8,7,17,169
spatial resolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,8,6,4,11,12,8,14,15,7,7,13,21,29,169
protein interaction,0,0,0,0,0,0,0,0,0,0,7,10,4,19,14,9,0,11,0,0,7,9,13,13,0,5,3,3,10,6,6,4,9,6,168
biological system,0,0,0,0,0,0,6,0,0,0,0,0,4,8,0,6,4,6,4,5,7,6,9,9,15,8,0,8,10,9,10,16,13,5,168
dynamical model,0,0,0,0,0,0,0,0,0,0,4,0,5,5,9,4,0,0,7,7,11,7,5,7,9,7,6,10,19,8,11,8,7,12,168
potential applications,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,3,0,0,9,7,7,6,8,6,14,10,12,14,15,19,27,168
disease covid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,27,13,0,0,0,168
high throughput,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,3,0,9,12,10,9,12,11,5,9,15,11,10,16,10,10,167
one important,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,4,3,7,11,13,12,12,15,7,13,9,14,6,9,12,6,167
drug repurposing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50,15,20,33,25,20,167
framework based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,3,6,5,8,0,10,10,6,17,8,17,14,15,37,167
used identify,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,8,10,7,6,9,11,14,13,18,6,12,23,8,7,167
statistical inference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,13,13,9,9,9,10,9,11,16,13,13,13,10,167
performance across,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,12,17,44,81,167
central role,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,4,6,5,5,10,16,4,10,11,9,17,9,11,11,10,17,166
large populations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,5,6,10,14,11,6,11,12,13,12,14,9,3,7,15,9,166
risk factors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,15,23,12,14,32,21,35,166
modeling approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,8,10,13,9,5,13,15,17,10,9,18,26,166
phylogenetic network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,5,0,0,7,10,19,12,14,5,19,15,17,24,8,166
play crucial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,7,0,6,9,8,9,8,10,5,8,24,28,31,165
individual neurons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,4,8,10,14,10,12,11,14,10,13,17,15,16,165
epidemiological models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,6,4,0,0,4,0,7,50,19,14,14,20,14,165
network inference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,4,7,7,10,7,4,12,13,16,10,6,0,17,13,25,165
clinical practice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,4,10,5,13,17,13,11,22,28,32,165
molecular graphs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,19,34,36,31,27,165
recently introduced,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,3,0,6,4,6,6,7,10,7,9,6,12,16,9,10,8,19,12,165
deeper understanding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,4,5,8,5,9,6,13,9,9,25,29,33,165
information transfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,5,9,9,16,11,22,6,7,9,9,5,12,11,8,13,165
open question,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,6,14,9,8,8,7,19,15,11,14,18,22,165
first show,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,5,7,9,9,11,10,9,9,12,7,9,10,8,14,23,164
cell size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,10,26,10,11,20,10,11,14,13,14,13,164
computational modeling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,6,3,9,8,5,5,13,12,14,13,10,13,12,29,164
high resolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,9,4,10,6,6,11,9,11,12,12,17,9,16,11,14,164
ion channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,6,3,12,16,8,15,7,10,7,10,6,14,10,14,14,164
scalefree networks,0,0,0,0,0,0,0,0,0,10,15,13,6,0,0,6,12,10,5,7,10,13,10,4,7,7,8,4,6,4,0,3,3,0,163
paper investigate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,6,8,3,6,6,8,10,10,5,9,8,15,17,10,10,12,11,163
propose model,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,4,5,3,4,10,8,9,7,15,4,10,8,20,11,10,10,7,7,163
eukaryotic cells,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,3,8,6,5,8,6,8,3,11,13,9,8,9,14,8,4,6,12,11,163
spatial transcriptomics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,27,42,80,163
topological data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,5,4,8,9,21,13,21,22,20,23,163
transmission rate,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,3,3,0,0,4,0,6,5,52,22,16,10,15,15,163
dna molecules,0,0,0,0,0,0,0,5,9,0,0,11,12,5,4,7,6,5,7,4,7,9,7,12,5,9,8,7,5,0,8,6,5,0,163
learning rule,0,0,0,0,0,0,0,0,0,0,4,11,0,6,0,0,4,0,0,0,0,3,5,11,4,13,9,15,21,18,9,8,4,18,163
first order,0,0,0,0,0,0,4,0,4,10,6,10,0,8,3,3,4,8,7,0,3,7,15,9,10,3,5,12,6,11,0,5,4,5,162
spatiotemporal patterns,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,5,7,0,0,4,5,9,7,8,10,13,16,8,10,12,8,17,12,162
model exhibits,0,0,0,0,0,0,3,3,0,4,6,0,5,6,6,0,5,8,6,7,0,5,6,8,5,7,4,6,4,8,11,14,8,17,162
complex dynamics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,5,0,3,5,5,5,9,15,11,7,18,9,11,12,13,21,162
gradient descent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,6,12,19,17,18,28,16,28,162
model biological,0,0,0,6,3,5,0,0,10,13,6,5,9,6,0,4,5,6,4,5,4,11,0,5,5,4,0,4,4,7,5,12,8,6,162
cancer patients,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,6,13,25,15,19,16,18,18,15,162
higher order,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,10,5,3,17,8,0,15,13,15,10,7,6,13,8,11,7,161
cell fate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,4,7,4,15,10,5,8,14,23,10,15,6,9,22,161
sufficient conditions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,13,4,12,8,10,6,9,7,4,12,7,18,15,14,14,161
social dilemmas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,10,6,24,13,14,0,15,12,7,10,3,6,20,9,161
prediction models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,14,19,11,33,29,34,161
genetic data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,12,19,13,5,0,11,14,14,5,18,18,13,7,161
address question,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,5,0,5,9,9,4,15,11,12,12,9,11,12,7,10,14,7,161
relatively small,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,6,0,5,0,6,6,6,9,8,11,8,14,12,13,9,13,7,11,7,161
question whether,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,4,4,0,5,0,13,13,6,8,16,17,10,8,12,9,19,161
brain states,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,5,7,18,8,11,14,11,12,35,27,161
gaussian process,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,9,0,9,9,17,10,17,12,17,18,24,11,161
algorithm based,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,9,4,0,4,5,6,6,8,12,11,10,13,13,14,11,11,10,7,160
networks study,0,0,0,0,0,0,0,0,0,3,4,6,0,3,4,5,6,7,9,5,6,6,8,0,9,9,8,12,6,11,6,10,11,6,160
force field,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,8,3,8,6,7,5,20,9,4,4,8,6,19,23,9,11,160
reaction rates,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,10,4,0,10,5,10,11,9,9,11,5,6,10,12,9,10,12,8,160
statistical model,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,5,3,9,7,22,7,14,4,12,7,17,12,8,11,7,7,160
inference methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,9,18,11,6,9,6,18,10,7,9,13,24,160
spatiotemporal dynamics,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,3,0,3,11,5,8,7,14,12,6,15,8,5,10,17,24,160
model predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,4,3,9,10,8,6,8,22,6,12,13,23,21,160
scaling laws,0,0,0,0,0,0,0,0,0,0,4,6,7,0,0,3,0,0,5,6,7,9,7,8,9,10,4,6,8,8,3,8,16,26,160
evaluate performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,6,11,10,7,11,18,16,12,25,15,17,160
data results,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,9,7,10,11,8,19,15,13,13,12,12,24,160
real time,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,3,0,6,8,5,5,10,8,10,10,8,16,14,12,11,10,16,160
valuable insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,3,3,38,55,50,159
protein engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,6,8,40,51,47,159
cell growth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,6,6,12,4,5,7,15,8,10,12,9,9,15,16,14,159
ligand binding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,4,5,0,8,6,24,6,7,6,4,8,10,8,20,8,17,159
social interactions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,7,6,4,10,9,11,12,14,11,13,9,17,21,159
paper consider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,6,6,8,5,12,6,7,10,8,11,15,8,9,17,12,4,159
lower bound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,16,12,9,9,15,4,11,13,9,6,14,7,11,11,159
receptive field,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,10,7,10,11,14,10,15,3,7,9,7,10,28,159
theoretical models,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,5,0,7,5,10,9,5,9,7,8,23,6,9,8,5,17,7,9,159
evolutionary games,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,5,12,5,8,16,20,11,4,9,16,8,7,6,0,10,9,0,158
objective function,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,8,3,7,13,17,14,14,6,12,14,4,6,19,12,158
affinity prediction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,9,16,21,23,30,43,158
cell shape,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,9,11,9,10,17,18,9,19,7,5,13,11,12,158
epidemic dynamics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,8,7,8,0,7,9,5,31,19,10,12,12,20,158
input data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,9,8,9,6,5,9,18,10,22,20,21,11,158
structural features,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,3,0,3,12,0,3,4,5,11,6,15,6,9,13,21,34,158
propose simple,0,0,0,0,0,0,3,0,0,0,3,4,0,3,5,6,5,4,5,4,5,10,6,6,6,12,6,7,11,12,9,7,12,7,158
recent developments,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,3,4,0,8,7,6,9,9,7,9,10,16,12,13,16,19,158
variational autoencoder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,12,20,22,28,28,32,158
biomedical research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,5,8,8,9,8,13,9,17,34,38,158
scrnaseq data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,21,30,55,33,158
numerical simulation,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,3,7,4,0,3,7,10,6,8,8,7,15,9,14,9,13,10,7,8,158
develop new,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,0,4,8,10,10,7,11,11,8,13,12,8,19,14,7,157
side effects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,4,5,8,4,5,16,7,20,18,12,13,17,20,157
compared existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,4,14,0,11,8,13,15,23,28,26,157
